"title,genre,overview"
"Inception,Action Sci-Fi Thriller,A thief who steals corporate secrets through dream-sharing technology is given a chance to erase his criminal past."
"The Dark Knight,Action Crime Drama,Batman faces the Joker who causes chaos and challenges his moral limits."
"Interstellar,Sci-Fi Drama,Explorers travel through a wormhole in space to save humanity."
"Avengers Endgame,Action Sci-Fi,A group of superheroes unite to reverse the damage caused by Thanos."
"Iron Man,Action Sci-Fi,An industrialist builds a powerful suit of armor to save the world."
"Titanic,Romance Drama,A love story between a poor artist and a wealthy woman aboard a doomed ship."
"The Notebook,Romance Drama,A romantic tale of lifelong love and devotion."
"Joker,Crime Drama,A mentally troubled comedian turns into a criminal mastermind."
"Gladiator,Action Drama,A former Roman general seeks revenge against a corrupt emperor."
"The Matrix,Action Sci-Fi,A hacker discovers the reality he lives in is a simulated world."
"John Wick,Action Thriller,A retired assassin seeks revenge for the killing of his dog."
"Forrest Gump,Drama Romance,The story of a man with a low IQ who lives an extraordinary life."
"Avatar,Action Sci-Fi,Humans explore an alien planet and face conflict with its native people."
"The Shawshank Redemption,Drama,Two imprisoned men bond over years and find redemption."
"Doctor Strange,Action Fantasy,A surgeon learns mystic arts after a career-ending accident."
