title,genre,overview
"The Matrix","Action,Sci-Fi","A computer hacker learns about the true nature of reality and his role in a war against its controllers."
"Inception","Action,Thriller,Sci-Fi","A skilled thief enters people's dreams to steal secrets and is offered a chance to have his past crimes forgiven."
"Interstellar","Adventure,Drama,Sci-Fi","A team of explorers travel through a wormhole in space to ensure humanity's survival."
"The Dark Knight","Action,Crime,Drama","Batman faces the Joker, a criminal mastermind who plunges Gotham into chaos."
"Titanic","Drama,Romance","A young couple from different social classes fall in love aboard the ill-fated Titanic."
"The Shawshank Redemption","Drama","Two imprisoned men bond over years, finding solace and eventual redemption through acts of common decency."
"The Godfather","Crime,Drama","The aging patriarch of an organized crime dynasty transfers control to his reluctant son."
"Toy Story","Animation,Adventure,Comedy","A group of toys come to life when their owner is not around, led by Woody and Buzz Lightyear."
"Finding Nemo","Animation,Adventure,Comedy","After his son is captured, a timid clownfish sets out on a journey to bring him home."
"The Avengers","Action,Adventure,Sci-Fi","Earth's mightiest heroes must learn to work together to stop a mischievous demigod and his alien army."

